complexity,loc,language_type,maint_type,skill,age,interdependence,team_size,exp,def_density,def_severity,churn,change_req,test_cov,doc_quality,cost
69,57022,typescript,corrective,4,7,low,3,senior,6.481021272610715,medium,46.23614472477392,76,83.49695494811857,2.7017247770253823,18938.28286350462
47,16395,c#,adaptive,9,10,medium,3,senior,0.1835838399922396,low,39.00660657476283,12,90.29010111633711,4.02197862805686,8490.539491608819
25,1460,php,adaptive,10,8,high,8,junior,6.539942214202483,medium,86.35770031391459,39,81.4419197214675,3.4202859407230672,4672.210001844406
66,38758,javascript,adaptive,3,6,medium,7,expert,6.185851490721154,high,92.92609751978921,91,45.91591303759114,3.754517159602173,15842.27844341175
10,54943,python,corrective,8,12,medium,6,junior,3.098471167532799,medium,30.34532164496062,57,25.17884533468844,2.12930540292777,17407.92906278947
56,45332,python,corrective,1,1,medium,4,senior,0.8579428489948948,medium,86.39358074599548,17,37.03201754505222,2.925741383830422,15681.022968063588
30,11884,c#,corrective,9,7,low,9,junior,0.9093544991304114,medium,78.15231295330672,56,2.0236232639950447,1.177581059877308,6898.354362208889
5,55486,javascript,corrective,9,6,high,1,senior,9.232237469852286,high,93.08076723447618,82,52.39931674646672,4.270129663832483,18839.182607235798
33,6865,java,adaptive,10,7,low,2,junior,6.892793212258371,medium,24.575031218588784,37,50.50578002704087,4.959568648959499,6804.4476538731515
65,17450,javascript,preventive,2,11,high,4,senior,1.271026137707404,high,57.695915012097906,31,52.52504648304882,2.6275162504986835,9861.858126770256
18,37794,python,perfective,4,2,medium,3,senior,3.5672316930890635,high,27.454458474044465,85,97.40312249720638,1.0438546125261734,12574.651853917383
49,22562,javascript,perfective,8,6,high,1,expert,5.924829939015964,medium,82.40944904843742,65,91.14540034548394,1.6791705582037895,10189.161417313713
11,47791,java,perfective,7,9,low,5,junior,8.355717050906486,low,0.5324190571064258,76,16.171277833010798,3.6101075110016754,16236.79223469384
26,44731,php,adaptive,1,12,medium,7,junior,0.4366092871300853,medium,56.48191628863961,86,36.888252155588916,3.4483172728154368,16103.214313018867
63,16623,java,corrective,5,8,low,2,junior,2.366331314700089,high,33.9203431271918,24,42.39561794632619,4.151458878342176,9697.651371274993
59,41690,javascript,preventive,7,2,low,5,senior,8.8974899029538,low,32.268370707782026,91,36.053291785164774,2.0155360438442727,14864.793140131163
27,2285,python,adaptive,4,13,medium,6,junior,0.09165550183816484,medium,64.4906323864917,57,79.8495963603913,4.054527662188536,5501.612921062866
49,1369,python,adaptive,1,9,low,7,expert,2.013991027938874,high,85.1484449313994,74,52.40376698675869,3.751936086094679,6325.733564712472
77,56701,java,corrective,9,5,medium,1,senior,9.59024175972966,medium,60.91953913933262,32,57.209981697162505,2.291257990855373,18720.384875246484
33,3033,javascript,adaptive,5,1,low,7,senior,6.134018465221711,medium,85.31729786467224,87,85.30135589879255,3.181952592227848,5139.662258284776
1,5911,c#,adaptive,2,1,medium,4,senior,2.6167136663750643,low,26.459711188102997,65,80.59281534153587,1.5890952339933069,4357.436499221921
21,38419,java,perfective,8,4,high,8,junior,0.6699109439584761,low,51.95018547649811,29,13.22115228202997,2.8102580137423305,13363.051163069214
55,39788,c#,adaptive,2,4,medium,4,junior,0.2819134044722216,high,45.0536539067076,80,71.39145840836343,4.524789358222564,15398.04760106353
6,18168,php,corrective,3,12,medium,6,senior,2.4474507963692727,low,1.1644899503096218,33,43.543612890203555,2.684765519301563,8285.593566682901
69,54307,php,preventive,10,6,medium,9,senior,8.814858195889105,low,55.68121431407401,85,29.464890306250048,4.358266825901688,19161.848837885216
5,20369,python,corrective,1,11,high,5,junior,4.159136542975094,high,66.1524324146175,68,5.0018820902186345,3.3610134610387776,10426.842793772312
3,29293,javascript,adaptive,2,1,medium,4,junior,7.20333369165993,medium,59.191440441907005,47,48.724956034545094,1.767506852409427,10380.489398418733
53,6996,python,corrective,7,10,medium,8,expert,9.182850353799578,high,73.62798987834215,39,35.54366807245314,3.3244249787915856,7442.457794086783
23,28080,java,perfective,10,13,high,9,junior,4.080404616028166,high,57.13395284530771,50,25.151303967640082,3.023933316628254,11862.332238825798
53,42034,dart,preventive,2,12,high,4,expert,1.9127737103739706,low,6.675025485075691,79,69.46717295969576,2.594565340785536,15623.792194791147
37,26258,python,corrective,6,6,medium,3,senior,5.171179308569195,low,11.644552408471142,12,76.9485387315587,1.4785217580642813,9628.84421381276
74,19542,javascript,perfective,3,4,medium,8,junior,9.080836870598544,high,59.64745775439524,89,24.47895190294248,2.6668346553889193,10672.12762734092
74,57601,c#,corrective,4,13,high,5,junior,8.043744141377006,medium,27.49791919736402,30,4.944743667934725,1.2910495049585085,19336.645645112552
17,19031,ruby,preventive,8,5,medium,2,junior,0.6582984336315378,low,7.964512903476583,38,84.8752700565235,1.395076205595005,7439.229791816035
78,3347,javascript,perfective,3,7,low,9,senior,6.925728000775818,high,42.960274344854675,62,0.9959741204303318,2.663666131730864,6883.9645401855105
73,58919,python,perfective,10,9,low,3,senior,5.7189752245895376,low,55.43225980836554,47,93.7112493921472,2.221525927873855,18730.112149090695
1,59750,java,corrective,6,12,high,2,senior,9.074631763464255,high,32.87459883496066,86,62.76198739827059,4.702177303448893,20089.746562701417
51,789,javascript,preventive,1,13,low,1,expert,1.2248141685029723,low,72.04337022257779,47,32.18466352013203,2.502823221521082,5714.977535537298
45,19718,python,perfective,7,11,high,8,senior,5.340361132046566,low,64.37706081012446,60,24.64779095767362,4.0314324882884005,10580.572818679339
77,36373,java,corrective,8,3,medium,3,junior,8.794626935118924,low,33.281836109167195,11,0.9005664264475244,3.120990105464971,14053.420319491035
4,54410,python,perfective,8,12,medium,7,junior,4.10023786741743,high,75.48725289085606,77,23.547141701087714,3.816342674569342,18311.442537272746
62,2499,python,corrective,3,6,low,1,expert,4.81994917732867,medium,64.86950425330355,55,13.77283015171411,2.0404639320615967,6206.155771587391
65,57486,java,perfective,10,5,low,1,junior,0.7046067766695829,high,63.74453787179021,17,61.216622072314564,4.767619891353316,19366.056879328455
32,1867,python,corrective,1,9,high,9,junior,2.7814364044891082,medium,55.342770078706806,26,16.65455885938013,3.120353987657696,5398.175910671582
34,32151,javascript,perfective,9,1,high,8,senior,3.2450664916894736,medium,1.1389668088552796,27,52.86298375366193,4.325296285140999,12312.457275054385
72,51280,c#,adaptive,6,7,medium,3,senior,9.451224487448869,low,69.65071834768891,81,59.01164223444708,2.460182773904454,17804.970368787173
39,11994,php,corrective,9,9,medium,6,expert,2.8266736054115906,medium,37.604179110915645,79,29.80416983469145,1.4008453962020981,7704.331554409871
26,4156,java,corrective,7,8,medium,3,senior,4.60868735269652,medium,94.26097101586556,51,3.5064949018718705,3.694846590883395,6504.922502893336
34,4490,python,corrective,1,4,medium,4,junior,6.713044235642798,medium,81.79847710772053,15,3.72538806141961,1.031038593349698,5093.488953297552
54,42206,python,adaptive,1,9,medium,1,expert,1.621833724078774,low,58.76944695313122,76,2.6347332193917605,2.901171906262033,16337.318661457946
3,31340,c#,corrective,6,3,low,5,junior,4.864423871418745,high,25.218198181926944,57,73.91246671365462,1.771207610665837,10710.039012207828
50,15102,ruby,adaptive,5,5,medium,1,senior,7.385390394759076,low,20.371739327766658,92,31.800970481429815,3.5095020177414487,9364.868484885405
12,22377,python,corrective,9,7,high,1,senior,8.66855213027066,high,34.03848376775491,8,79.63001859676636,4.917679492551409,10206.014099891116
65,11227,typescript,corrective,2,10,high,7,junior,6.262592746624267,low,47.656794358001854,25,43.17328238428492,2.857611625282584,7903.73134245243
54,9392,python,perfective,8,2,low,6,senior,6.690535153169479,medium,29.606551003894708,27,45.29981008299638,4.269993026102666,7245.197563150587
5,43923,javascript,corrective,5,9,high,2,junior,1.2628347258456896,medium,51.49294953924828,76,51.28826025095737,3.031136747804484,15246.706342949174
57,43621,ruby,preventive,2,10,medium,2,senior,9.457764972463472,medium,16.537042551318592,35,71.3031456375104,2.9833601244160963,15607.004328218605
17,9033,php,perfective,10,10,medium,7,senior,1.3257407748448236,medium,97.77128128254999,8,27.350286582970707,4.721693972715111,7091.894693569885
47,43601,ruby,adaptive,6,0,low,1,senior,7.746729371817983,medium,10.792455496499386,46,12.15873495335269,4.5598634749867255,16065.650245172343
23,11616,php,adaptive,10,3,medium,2,expert,2.648163217783188,medium,93.1944139654372,77,55.60573351914615,4.143201860751898,8061.9338692180045
79,24497,java,perfective,8,3,medium,8,junior,9.335931437012515,high,91.35780114026949,50,32.697762324273924,2.1850230132671364,11212.386498714779
14,3212,php,corrective,4,0,medium,6,senior,7.199595393694795,medium,52.5360481819498,75,44.24913136680374,3.180033662895762,5147.470201791115
66,56793,python,corrective,2,8,high,2,senior,7.538137129783689,high,72.49102718360844,56,64.69467083373054,1.89558893322274,19181.972290616846
75,59307,php,corrective,5,2,high,7,junior,2.1905917305988334,low,43.60482979725878,31,49.41257411412706,2.775666792186159,19098.9365526337
51,55987,javascript,perfective,2,4,medium,4,senior,4.430399766351608,medium,63.00345775424382,66,62.02788171008429,2.9368522630391625,18501.653001286824
38,55238,php,corrective,2,5,high,2,senior,6.178131945892864,medium,34.05759374211187,56,54.42000021136278,4.326560160677324,18883.440569100458
64,24083,javascript,adaptive,6,7,medium,6,junior,7.699736182066009,medium,30.115901978544535,53,73.97963719360992,4.584113461299973,11370.998178361639
38,59422,c#,preventive,10,5,low,9,senior,1.0395937591238957,medium,57.82297861695137,15,70.593661771162,2.6584802495859114,17904.777376947884
50,49155,javascript,perfective,9,2,medium,9,junior,9.623653164545283,medium,49.81296741839804,61,53.41898918086192,1.0708177802929488,15617.19968679081
30,17759,ruby,adaptive,4,5,low,8,senior,8.90220670554556,low,57.95363691499811,83,67.89030208597069,4.4470953591574185,9257.024463688713
79,45574,python,corrective,6,0,medium,3,junior,2.7034859049558433,low,28.6660581287023,95,87.35596022726128,1.6971147140054428,15527.413258636527
51,41594,python,perfective,7,3,low,3,expert,8.22760243032332,low,36.695783181699525,55,43.22712877881686,3.487527855561574,15170.967445103095
63,15141,java,adaptive,6,5,low,2,senior,5.183239230398234,medium,8.38979606289093,22,41.276307274879365,1.0998836017365248,7819.64235237558
52,36520,python,corrective,8,6,high,5,senior,4.618064815620187,medium,5.227637227220572,16,76.42456208523801,2.598025901042257,13096.400662175165
38,27131,php,corrective,4,10,low,4,senior,3.144341058114054,high,25.345712967301626,79,58.2553837041994,4.943841208461399,12558.557482858307
79,2185,java,preventive,1,12,medium,7,expert,5.809685866315925,high,7.424685933054576,37,7.100678022258855,1.4027744044152124,6397.4492120727655
30,4543,dart,adaptive,7,10,low,4,senior,7.298891177035978,low,10.37747086347407,71,89.21120156910814,2.694772607998569,5289.860881005654
51,24539,java,perfective,3,9,medium,9,junior,4.109329049627583,high,81.29284053939371,82,3.0783102237640136,2.2285998007598087,11583.695789641348
5,20057,python,perfective,6,2,medium,2,senior,6.292191930082921,high,3.88736970166893,29,74.8396356209743,4.620352493553057,9134.121299915645
29,1621,php,adaptive,2,8,high,6,expert,6.993129211553038,medium,65.89427939347428,57,75.87941427043128,4.477360431629421,5952.909880849935
4,12253,c#,adaptive,9,11,medium,7,senior,7.111218170152859,medium,27.255774881540052,97,95.31110852819305,1.9507950412249153,6693.550662672644
10,44173,javascript,adaptive,1,11,low,4,senior,0.5196609813118025,high,87.15456807081264,77,5.4134408402320755,1.3247511482017247,15356.791796833113
56,14017,javascript,corrective,6,6,medium,6,expert,8.597478056850669,medium,48.49922845774996,21,59.685686078449095,3.50855357624447,8483.617807197305
17,53595,ruby,adaptive,6,13,low,7,expert,4.582533147650479,high,30.557645932782574,16,42.784057062705294,2.345474847534839,17190.08999172895
